trade_id,price,side,pos_side,type,qty,pnl,fee_paid,long_pos_size,long_pos_price,shrt_pos_size,shrt_pos_price,liq_diff,equity,pnl_plus_fees_cumsum,loss_cumsum,profit_cumsum,fee_paid_cumsum,actual_balance,apparent_balance,liq_price,timestamp,progress,drawdown,gain,n_days,average_daily_gain,hours_since_long_pos_change,hours_since_shrt_pos_change,hours_since_pos_change_max
1,2.2385,buy,long,entry,8.4,0.0,-0.003384612000000001,8.4,2.2385,0.0,,1.0,49.994095388,-0.003384612000000001,0.0,0.0,-0.003384612000000001,49.996615388,16.648872924204003,0.0,1614605379736.0,1.245705430528254e-07,5.0405952551927685e-05,0.99988190776,1.5590277777777778e-05,0.0005130263236774779,0.0,0.0,0.0
8,2.238,sel,shrt,entry,-8.4,0.0,-0.003383856,8.4,2.2385,-8.4,2.238,1.0,49.989031532,-0.0067684680000000014,0.0,0.0,-0.0067684680000000014,49.993231532,16.647746100156002,495.9229318650815,1614605384930.0,9.965643444226031e-07,8.401843106954038e-05,0.99978063064,7.570601851851852e-05,0.055135282269356205,0.0014427777777777779,0.0,0.0014427777777777779
74,2.235,buy,shrt,close,8.4,0.025200000000000958,-0.0033793200000000003,8.4,2.2385,-0.0,,220.89938335723366,49.984812212,0.015052212000000955,0.0,0.025200000000000958,-0.010147788000000001,50.015052212,16.655012386596002,0.0,1614605415446.0,9.218220185909079e-06,0.0006049837673040082,0.99969624424,0.00042890046296296296,0.49246726321899975,0.009919444444444444,0.0,0.009919444444444444
99,2.2308,sel,shrt,entry,-8.4,0.0,-0.0033729696,8.4,2.2385,-8.4,2.2308,1.0,49.9469992424,0.011679242400000955,0.0,0.025200000000000958,-0.013520757600000002,50.0116792424,16.6538891877192,495.5059448650815,1614605417202.0,1.2332483762229714e-05,0.001294972690673595,0.998939984848,0.00044922453703703704,0.09433462049875915,0.010407222222222222,0.0004877777777777778,0.010407222222222222
138,2.2278,buy,shrt,close,8.4,0.025200000000000958,-0.0033684336,8.4,2.2385,-0.0,,221.44935796412187,49.941110808800005,0.033510808800001915,0.0,0.050400000000001915,-0.0168891912,50.0335108088,16.6611590993304,0.0,1614605433182.0,1.7190734941289904e-05,0.0018501791110284282,0.9988222161760001,0.0006341782407407407,0.1559413024517551,0.01484611111111111,0.0,0.01484611111111111
140,2.2278,sel,shrt,entry,-8.4,0.0,-0.0033684336,8.4,2.2385,-8.4,2.2278,1.0,49.94026237519999,0.030142375200001917,0.0,0.050400000000001915,-0.0202576248,50.0301423752,16.6600374109416,495.4391108650815,1614605434245.0,1.7439876027395553e-05,0.0017997502561108243,0.9988052475039999,0.0006464814814814815,0.15736465522756082,0.015141388888888888,0.00029527777777777777,0.015141388888888888
309,2.2248,buy,shrt,close,8.4,0.025199999999997225,-0.0033638976000000004,8.4,2.2385,-0.0,,221.69929018073518,49.93605847759999,0.05197847759999914,0.0,0.07559999999999914,-0.023621522399999997,50.051978477599995,16.6673088330408,0.0,1614605479712.0,3.849229780332304e-05,0.0023213686368939463,0.9987211695519999,0.0011727199074074075,0.3358198946064569,0.02777111111111111,0.0,0.02777111111111111
372,2.2239,sel,shrt,entry,-8.5,0.0,-0.0034025670000000004,8.4,2.2385,-8.5,2.2239,1.0,49.92592591059999,0.04857591059999914,0.0,0.07559999999999914,-0.0270240894,50.04857591059999,16.6661757782298,248.9986390794444,1614605480584.0,4.634024201565104e-05,0.002456639466629497,0.9985185182119999,0.0011828125,0.2855219353732181,0.028013333333333335,0.00024222222222222223,0.028013333333333335
587,2.2209,buy,shrt,close,8.5,0.025500000000000966,-0.003397977,8.4,2.2385,-0.0,,111.12114511862589,49.9219979336,0.0706779336000001,0.0,0.1011000000000001,-0.0304220664,50.070677933599995,16.6735357518888,0.0,1614605525923.0,7.31229087720085e-05,0.0029782461871368684,0.998439958672,0.0017075694444444445,0.4007903456656575,0.0406075,0.0,0.0406075
595,2.2217,sel,shrt,entry,-8.5,0.0,-0.0033992009999999997,8.4,2.2385,-8.5,2.2217,1.0,49.92614873259999,0.0672787326000001,0.0,0.1011000000000001,-0.0338212674,50.067278732599995,16.6724038179558,248.99865309136095,1614605526704.0,7.411947311643111e-05,0.002826775218651126,0.9985229746519998,0.0017166087962962964,0.42271030711745794,0.04082444444444444,0.00021694444444444444,0.04082444444444444
806,2.2187,buy,shrt,close,8.5,0.02549999999999719,-0.003394611,8.4,2.2385,-0.0,,111.23739152191162,49.92138412159999,0.08938412159999728,0.0,0.1265999999999973,-0.0372158784,50.08938412159999,16.679764912492796,0.0,1614605568030.0,0.00010040385770057726,0.003365291306642858,0.9984276824319999,0.0021949189814814813,0.48825962772732723,0.052303888888888886,0.0,0.052303888888888886
